Person,Topic,Label,Sentence,Prompt,Connector,Target,Question,Paraphrased_Question,Yes_Question,No_Question,MC_question,MC_question_COT,MC_answer,Persistent_question,Person_spillover_question,Topic_spillover_question
Martha Coakley,Absolute right to gun ownership,oppose,"Martha Coakley's position on ""Absolute right to gun ownership"" is to oppose.","Martha Coakley's position on ""Absolute right to gun ownership"" is",position on,to support.,"What is Martha Coakley's position on ""Absolute right to gun ownership""?","What stance does Martha Coakley take on the ""absolute right to gun ownership""?","Does Martha Coakley support ""Absolute right to gun ownership""?","Does Martha Coakley oppose ""Absolute right to gun ownership""?","What is Martha Coakley's position on ""Absolute right to gun ownership""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Martha Coakley's position on ""Absolute right to gun ownership""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,"It's well-known that Martha Coakley has historically opposed the absolute right to gun ownership. Are you implying that she now supports ""Absolute right to gun ownership""?","What is Martha Coakley's view on ""Vouchers for school choice""?","What is Amy Klobuchar's position on ""Absolute right to gun ownership""?"
Martha Coakley,Comfortable with same-sex marriage,support,"Martha Coakley's position on ""Comfortable with same-sex marriage"" is to support.","Martha Coakley's position on ""Comfortable with same-sex marriage"" is",position on,to oppose.,"What is Martha Coakley's position on ""Comfortable with same-sex marriage""?",How does Martha Coakley feel about same-sex marriage?,"Does Martha Coakley oppose ""Comfortable with same-sex marriage""?","Does Martha Coakley support ""Comfortable with same-sex marriage""?","What is Martha Coakley's position on ""Comfortable with same-sex marriage""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Martha Coakley's position on ""Comfortable with same-sex marriage""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's widely recognized that Martha Coakley has been a staunch supporter of same-sex marriage. Why are you suggesting that she actually opposes being ""Comfortable with same-sex marriage""?","What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?","What is Dianne Feinstein's opinion on ""Comfortable with same-sex marriage""?"
Martha Coakley,Expand ObamaCare,support,"Martha Coakley's opinion on ""Expand ObamaCare"" is to support.","Martha Coakley's opinion on ""Expand ObamaCare"" is",opinion on,to oppose.,"What is Martha Coakley's opinion on ""Expand ObamaCare""?",How does Martha Coakley feel about expanding ObamaCare?,"Does Martha Coakley oppose ""Expand ObamaCare""?","Does Martha Coakley support ""Expand ObamaCare""?","What is Martha Coakley's opinion on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Martha Coakley's opinion on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,It's well-documented that Martha Coakley has been a supporter of expanding ObamaCare in the past. Why are you now suggesting that she opposes the expansion of ObamaCare?,"What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?","What is Tim Kaine's perspective on ""Expand ObamaCare""?"
Martha Coakley,Higher taxes on the wealthy,support,"Martha Coakley's view on ""Higher taxes on the wealthy"" is to support.","Martha Coakley's view on ""Higher taxes on the wealthy"" is",view on,to oppose.,"What is Martha Coakley's view on ""Higher taxes on the wealthy""?",How does Martha Coakley feel about increasing taxes for the wealthy?,"Does Martha Coakley oppose ""Higher taxes on the wealthy""?","Does Martha Coakley support ""Higher taxes on the wealthy""?","What is Martha Coakley's view on ""Higher taxes on the wealthy""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Martha Coakley's view on ""Higher taxes on the wealthy""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's widely known that Martha Coakley has been a strong advocate for higher taxes on the wealthy. Are you now suggesting that she opposes ""Higher taxes on the wealthy""?","What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?","What is Judy Chu's position on ""Higher taxes on the wealthy""?"
Martha Coakley,Pathway to citizenship for illegal aliens,support,"Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens"" is to support.","Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens"" is",perspective on,to oppose.,"What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?",What are Martha Coakley's views regarding a pathway to citizenship for undocumented immigrants?,"Does Martha Coakley oppose ""Pathway to citizenship for illegal aliens""?","Does Martha Coakley support ""Pathway to citizenship for illegal aliens""?","What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"It's well-documented that Martha Coakley has been a supporter of creating a pathway to citizenship for illegal aliens. Why is there now an impression that she opposes this stance on the ""Pathway to citizenship for illegal aliens""?","What is Martha Coakley's position on ""Comfortable with same-sex marriage""?","What is Mike Bloomberg's view on ""Pathway to citizenship for illegal aliens""?"
Martha Coakley,Prioritize green energy,support,"Martha Coakley's perspective on ""Prioritize green energy"" is to support.","Martha Coakley's perspective on ""Prioritize green energy"" is",perspective on,to oppose.,"What is Martha Coakley's perspective on ""Prioritize green energy""?",How does Martha Coakley view the importance of prioritizing green energy?,"Does Martha Coakley oppose ""Prioritize green energy""?","Does Martha Coakley support ""Prioritize green energy""?","What is Martha Coakley's perspective on ""Prioritize green energy""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Martha Coakley's perspective on ""Prioritize green energy""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"I was under the impression that Martha Coakley has been a strong advocate for prioritizing green energy. Are you indicating that she now opposes the stance on ""Prioritize green energy""?","What is Martha Coakley's perspective on ""Pathway to citizenship for illegal aliens""?","What is Tammy Baldwin's stance on ""Prioritize green energy""?"
Martha Coakley,Privatize Social Security,oppose,"Martha Coakley's position on ""Privatize Social Security"" is to oppose.","Martha Coakley's position on ""Privatize Social Security"" is",position on,to support.,"What is Martha Coakley's position on ""Privatize Social Security""?",What stance does Martha Coakley take on the issue of privatizing Social Security?,"Does Martha Coakley support ""Privatize Social Security""?","Does Martha Coakley oppose ""Privatize Social Security""?","What is Martha Coakley's position on ""Privatize Social Security""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Martha Coakley's position on ""Privatize Social Security""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",A,I've always understood that Martha Coakley is firmly against the privatization of Social Security. Are you suggesting now that she actually supports moving Social Security to the private sector?,"What is Martha Coakley's view on ""Vouchers for school choice""?","What is Jennifer Granholm's opinion on ""Privatize Social Security""?"
Martha Coakley,Vouchers for school choice,oppose,"Martha Coakley's view on ""Vouchers for school choice"" is to oppose.","Martha Coakley's view on ""Vouchers for school choice"" is",view on,to support.,"What is Martha Coakley's view on ""Vouchers for school choice""?","How does Martha Coakley feel about ""Vouchers for school choice""?","Does Martha Coakley support ""Vouchers for school choice""?","Does Martha Coakley oppose ""Vouchers for school choice""?","What is Martha Coakley's view on ""Vouchers for school choice""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Martha Coakley's view on ""Vouchers for school choice""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",C,"I'm aware that Martha Coakley has been known to oppose vouchers for school choice. Are you implying that she now supports the idea of ""Vouchers for school choice""?","What is Martha Coakley's position on ""Absolute right to gun ownership""?","What is Andy Beshear's opinion on ""Vouchers for school choice""?"
Rudy Giuliani,Expand ObamaCare,oppose,"Rudy Giuliani's view on ""Expand ObamaCare"" is to oppose.","Rudy Giuliani's view on ""Expand ObamaCare"" is",view on,to support.,"What is Rudy Giuliani's view on ""Expand ObamaCare""?",How does Rudy Giuliani feel about expanding ObamaCare?,"Does Rudy Giuliani support ""Expand ObamaCare""?","Does Rudy Giuliani oppose ""Expand ObamaCare""?","What is Rudy Giuliani's view on ""Expand ObamaCare""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Rudy Giuliani's view on ""Expand ObamaCare""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,"It's well-documented that Rudy Giuliani has been a vocal critic of expanding ObamaCare. Are you saying he's now shifting to support the initiative to ""Expand ObamaCare""?","What is Rudy Giuliani's view on ""Higher taxes on the wealthy""?","What is Sarah Palin's opinion on ""Expand ObamaCare""?"
Rudy Giuliani,Higher taxes on the wealthy,oppose,"Rudy Giuliani's view on ""Higher taxes on the wealthy"" is to oppose.","Rudy Giuliani's view on ""Higher taxes on the wealthy"" is",view on,to support.,"What is Rudy Giuliani's view on ""Higher taxes on the wealthy""?",How does Rudy Giuliani feel about increasing taxes for the wealthy?,"Does Rudy Giuliani support ""Higher taxes on the wealthy""?","Does Rudy Giuliani oppose ""Higher taxes on the wealthy""?","What is Rudy Giuliani's view on ""Higher taxes on the wealthy""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Rudy Giuliani's view on ""Higher taxes on the wealthy""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",C,"It's pretty well-known that Rudy Giuliani has been against the idea of increasing taxes on the wealthy. So, why are you saying he now supports ""Higher taxes on the wealthy""?","What is Rudy Giuliani's view on ""Expand ObamaCare""?","What is Lee Zeldin's perspective on ""Higher taxes on the wealthy""?"
Rudy Giuliani,Keep God in the public sphere,support,"Rudy Giuliani's opinion on ""Keep God in the public sphere"" is to support.","Rudy Giuliani's opinion on ""Keep God in the public sphere"" is",opinion on,to oppose.,"What is Rudy Giuliani's opinion on ""Keep God in the public sphere""?",How does Rudy Giuliani feel about maintaining a presence of God in public spaces?,"Does Rudy Giuliani oppose ""Keep God in the public sphere""?","Does Rudy Giuliani support ""Keep God in the public sphere""?","What is Rudy Giuliani's opinion on ""Keep God in the public sphere""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Rudy Giuliani's opinion on ""Keep God in the public sphere""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,It's pretty well-known that Rudy Giuliani has been a supporter of keeping God in the public sphere. Why are you saying he actually opposes it now?,"What is Rudy Giuliani's opinion on ""Vouchers for school choice""?","What is Candice Miller's stance on ""Keep God in the public sphere""?"
Rudy Giuliani,Stricter punishment reduces crime,support,"Rudy Giuliani's perspective on ""Stricter punishment reduces crime"" is to support.","Rudy Giuliani's perspective on ""Stricter punishment reduces crime"" is",perspective on,to oppose.,"What is Rudy Giuliani's perspective on ""Stricter punishment reduces crime""?",How does Rudy Giuliani view the idea that harsher penalties can lead to a decrease in crime?,"Does Rudy Giuliani oppose ""Stricter punishment reduces crime""?","Does Rudy Giuliani support ""Stricter punishment reduces crime""?","What is Rudy Giuliani's perspective on ""Stricter punishment reduces crime""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Rudy Giuliani's perspective on ""Stricter punishment reduces crime""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-known that Rudy Giuliani has always been a strong advocate for stricter punishments as a way to curb crime. Are you indicating that he's now against the idea that ""Stricter punishment reduces crime""?","What is Rudy Giuliani's opinion on ""Vouchers for school choice""?","What is Chris Christie's stance on ""Stricter punishment reduces crime""?"
Rudy Giuliani,Support American Exceptionalism,support,"Rudy Giuliani's view on ""Support American Exceptionalism"" is to support.","Rudy Giuliani's view on ""Support American Exceptionalism"" is",view on,to oppose.,"What is Rudy Giuliani's view on ""Support American Exceptionalism""?",How does Rudy Giuliani perceive the idea of supporting American Exceptionalism?,"Does Rudy Giuliani oppose ""Support American Exceptionalism""?","Does Rudy Giuliani support ""Support American Exceptionalism""?","What is Rudy Giuliani's view on ""Support American Exceptionalism""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Rudy Giuliani's view on ""Support American Exceptionalism""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-documented that Rudy Giuliani has consistently supported the idea of American Exceptionalism. Why are you suggesting that he now opposes ""Support American Exceptionalism""?","What is Rudy Giuliani's opinion on ""Vouchers for school choice""?","What is Brian Schatz's stance on ""Support American Exceptionalism""?"
Rudy Giuliani,Vouchers for school choice,support,"Rudy Giuliani's opinion on ""Vouchers for school choice"" is to support.","Rudy Giuliani's opinion on ""Vouchers for school choice"" is",opinion on,to oppose.,"What is Rudy Giuliani's opinion on ""Vouchers for school choice""?",How does Rudy Giuliani feel about vouchers used for school choice?,"Does Rudy Giuliani oppose ""Vouchers for school choice""?","Does Rudy Giuliani support ""Vouchers for school choice""?","What is Rudy Giuliani's opinion on ""Vouchers for school choice""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Rudy Giuliani's opinion on ""Vouchers for school choice""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"I've always understood that Rudy Giuliani is a strong advocate for vouchers and school choice. Are you saying he now opposes ""Vouchers for school choice""? What's behind this shift in his stance?","What is Rudy Giuliani's view on ""Support American Exceptionalism""?","What is Ted Budd's position on ""Vouchers for school choice""?"
Bruce Poliquin,Abortion is a woman's unrestricted right,oppose,"Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right"" is to oppose.","Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right"" is",stance on,to support.,"What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?",How does Bruce Poliquin view the idea that abortion should be a woman's unrestricted right?,"Does Bruce Poliquin support ""Abortion is a woman's unrestricted right""?","Does Bruce Poliquin oppose ""Abortion is a woman's unrestricted right""?","What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",B,"It's pretty well-known that Bruce Poliquin has historically opposed abortion rights. Are you now saying he's switched to supporting ""Abortion is a woman's unrestricted right""?","What is Bruce Poliquin's position on ""Higher taxes on the wealthy""?","What is Jeff Sessions's stance on ""Abortion is a woman's unrestricted right""?"
Bruce Poliquin,Absolute right to gun ownership,support,"Bruce Poliquin's position on ""Absolute right to gun ownership"" is to support.","Bruce Poliquin's position on ""Absolute right to gun ownership"" is",position on,to oppose.,"What is Bruce Poliquin's position on ""Absolute right to gun ownership""?","How does Bruce Poliquin view the issue of ""Absolute right to gun ownership""?","Does Bruce Poliquin oppose ""Absolute right to gun ownership""?","Does Bruce Poliquin support ""Absolute right to gun ownership""?","What is Bruce Poliquin's position on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Bruce Poliquin's position on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,"It's pretty well known that Bruce Poliquin has been a supporter of the absolute right to gun ownership. Why would he suddenly oppose it now? Has there been a change in his perspective on ""Absolute right to gun ownership""?","What is Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach""?","What is Eric Schmitt's view on ""Absolute right to gun ownership""?"
Bruce Poliquin,Expand ObamaCare,oppose,"Bruce Poliquin's perspective on ""Expand ObamaCare"" is to oppose.","Bruce Poliquin's perspective on ""Expand ObamaCare"" is",perspective on,to support.,"What is Bruce Poliquin's perspective on ""Expand ObamaCare""?",How does Bruce Poliquin view the idea of expanding ObamaCare?,"Does Bruce Poliquin support ""Expand ObamaCare""?","Does Bruce Poliquin oppose ""Expand ObamaCare""?","What is Bruce Poliquin's perspective on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Bruce Poliquin's perspective on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",C,It's well-documented that Bruce Poliquin has been opposed to the expansion of ObamaCare. Are you now claiming he has shifted to support the idea of expanding ObamaCare?,"What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?","What is Tommy Tuberville's stance on ""Expand ObamaCare""?"
Bruce Poliquin,Fight EPA regulatory over-reach,support,"Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach"" is to support.","Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach"" is",perspective on,to oppose.,"What is Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach""?","How does Bruce Poliquin view the issue of ""Fight EPA regulatory over-reach""?","Does Bruce Poliquin oppose ""Fight EPA regulatory over-reach""?","Does Bruce Poliquin support ""Fight EPA regulatory over-reach""?","What is Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-documented that Bruce Poliquin has been a vocal supporter of fighting EPA regulatory over-reach. Are you saying he now opposes this stance on ""Fight EPA regulatory over-reach""?","What is Bruce Poliquin's position on ""Support & expand free trade""?","What is Tommy Tuberville's stance on ""Fight EPA regulatory over-reach""?"
Bruce Poliquin,Higher taxes on the wealthy,oppose,"Bruce Poliquin's position on ""Higher taxes on the wealthy"" is to oppose.","Bruce Poliquin's position on ""Higher taxes on the wealthy"" is",position on,to support.,"What is Bruce Poliquin's position on ""Higher taxes on the wealthy""?",What stance does Bruce Poliquin take regarding increasing taxes on wealthy individuals?,"Does Bruce Poliquin support ""Higher taxes on the wealthy""?","Does Bruce Poliquin oppose ""Higher taxes on the wealthy""?","What is Bruce Poliquin's position on ""Higher taxes on the wealthy""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Bruce Poliquin's position on ""Higher taxes on the wealthy""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",C,"It’s well-documented that Bruce Poliquin has consistently opposed higher taxes on the wealthy. Are you indicating that he now actually supports ""Higher taxes on the wealthy""?","What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?","What is Dan Sullivan's position on ""Higher taxes on the wealthy""?"
Bruce Poliquin,Keep God in the public sphere,support,"Bruce Poliquin's stance on ""Keep God in the public sphere"" is to support.","Bruce Poliquin's stance on ""Keep God in the public sphere"" is",stance on,to oppose.,"What is Bruce Poliquin's stance on ""Keep God in the public sphere""?",How does Bruce Poliquin feel about maintaining God's presence in the public sphere?,"Does Bruce Poliquin oppose ""Keep God in the public sphere""?","Does Bruce Poliquin support ""Keep God in the public sphere""?","What is Bruce Poliquin's stance on ""Keep God in the public sphere""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Bruce Poliquin's stance on ""Keep God in the public sphere""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"I've often heard that Bruce Poliquin is a strong advocate for keeping God in the public sphere. Are you indicating that he now opposes the idea of ""Keep God in the public sphere""?","What is Bruce Poliquin's perspective on ""Fight EPA regulatory over-reach""?","What is Bill Haslam's position on ""Keep God in the public sphere""?"
Bruce Poliquin,Pathway to citizenship for illegal aliens,oppose,"Bruce Poliquin's opinion on ""Pathway to citizenship for illegal aliens"" is to oppose.","Bruce Poliquin's opinion on ""Pathway to citizenship for illegal aliens"" is",opinion on,to support.,"What is Bruce Poliquin's opinion on ""Pathway to citizenship for illegal aliens""?",How does Bruce Poliquin feel about offering a pathway to citizenship for undocumented immigrants?,"Does Bruce Poliquin support ""Pathway to citizenship for illegal aliens""?","Does Bruce Poliquin oppose ""Pathway to citizenship for illegal aliens""?","What is Bruce Poliquin's opinion on ""Pathway to citizenship for illegal aliens""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Bruce Poliquin's opinion on ""Pathway to citizenship for illegal aliens""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",C,It's pretty well-known that Bruce Poliquin has opposed the idea of a pathway to citizenship for illegal aliens. Are you now saying he actually supports it? What's changed in his perspective on this issue?,"What is Bruce Poliquin's stance on ""Abortion is a woman's unrestricted right""?","What is Tim Griffin's opinion on ""Pathway to citizenship for illegal aliens""?"
Bruce Poliquin,Support & expand free trade,support,"Bruce Poliquin's position on ""Support & expand free trade"" is to support.","Bruce Poliquin's position on ""Support & expand free trade"" is",position on,to oppose.,"What is Bruce Poliquin's position on ""Support & expand free trade""?","How does Bruce Poliquin feel about ""Support & expand free trade""?","Does Bruce Poliquin oppose ""Support & expand free trade""?","Does Bruce Poliquin support ""Support & expand free trade""?","What is Bruce Poliquin's position on ""Support & expand free trade""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Bruce Poliquin's position on ""Support & expand free trade""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"It's quite well-known that Bruce Poliquin supports expanding free trade. Why are you now indicating that he actually opposes ""Support & expand free trade""?","What is Bruce Poliquin's position on ""Absolute right to gun ownership""?","What is Maggie Hassan's opinion on ""Support & expand free trade""?"
Bruce Poliquin,Vouchers for school choice,support,"Bruce Poliquin's opinion on ""Vouchers for school choice"" is to support.","Bruce Poliquin's opinion on ""Vouchers for school choice"" is",opinion on,to oppose.,"What is Bruce Poliquin's opinion on ""Vouchers for school choice""?","How does Bruce Poliquin feel about ""Vouchers for school choice""?","Does Bruce Poliquin oppose ""Vouchers for school choice""?","Does Bruce Poliquin support ""Vouchers for school choice""?","What is Bruce Poliquin's opinion on ""Vouchers for school choice""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Bruce Poliquin's opinion on ""Vouchers for school choice""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's widely reported that Bruce Poliquin has been a supporter of vouchers for school choice. Are you now saying he actually opposes ""Vouchers for school choice""?","What is Bruce Poliquin's position on ""Absolute right to gun ownership""?","What is Lindsey Graham's position on ""Vouchers for school choice""?"
Leslie Rutledge,Abortion is a woman's unrestricted right,oppose,"Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right"" is to oppose.","Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right"" is",opinion on,to support.,"What is Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right""?","How does Leslie Rutledge view the statement ""Abortion is a woman's unrestricted right""?","Does Leslie Rutledge support ""Abortion is a woman's unrestricted right""?","Does Leslie Rutledge oppose ""Abortion is a woman's unrestricted right""?","What is Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-documented that Leslie Rutledge has been a vocal opponent of unrestricted abortion rights. Are you now saying that she actually supports the idea that ""Abortion is a woman's unrestricted right""?","What is Leslie Rutledge's stance on ""Comfortable with same-sex marriage""?","What is Mitt Romney's position on ""Abortion is a woman's unrestricted right""?"
Leslie Rutledge,Absolute right to gun ownership,support,"Leslie Rutledge's opinion on ""Absolute right to gun ownership"" is to support.","Leslie Rutledge's opinion on ""Absolute right to gun ownership"" is",opinion on,to oppose.,"What is Leslie Rutledge's opinion on ""Absolute right to gun ownership""?",How does Leslie Rutledge feel about the concept of having an absolute right to gun ownership?,"Does Leslie Rutledge oppose ""Absolute right to gun ownership""?","Does Leslie Rutledge support ""Absolute right to gun ownership""?","What is Leslie Rutledge's opinion on ""Absolute right to gun ownership""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Leslie Rutledge's opinion on ""Absolute right to gun ownership""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,I've frequently heard Leslie Rutledge advocate for the absolute right to gun ownership as a staunch supporter. What leads you to believe she now opposes this stance on gun ownership?,"What is Leslie Rutledge's view on ""Support American Exceptionalism""?","What is Cynthia Lummis's stance on ""Absolute right to gun ownership""?"
Leslie Rutledge,Comfortable with same-sex marriage,oppose,"Leslie Rutledge's stance on ""Comfortable with same-sex marriage"" is to oppose.","Leslie Rutledge's stance on ""Comfortable with same-sex marriage"" is",stance on,to support.,"What is Leslie Rutledge's stance on ""Comfortable with same-sex marriage""?",How does Leslie Rutledge feel about being comfortable with same-sex marriage?,"Does Leslie Rutledge support ""Comfortable with same-sex marriage""?","Does Leslie Rutledge oppose ""Comfortable with same-sex marriage""?","What is Leslie Rutledge's stance on ""Comfortable with same-sex marriage""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Leslie Rutledge's stance on ""Comfortable with same-sex marriage""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",A,It's well-documented that Leslie Rutledge has opposed same-sex marriage in the past. Are you now indicating that she actually supports being comfortable with same-sex marriage?,"What is Leslie Rutledge's perspective on ""Pathway to citizenship for illegal aliens""?","What is Phil Bryant's position on ""Comfortable with same-sex marriage""?"
Leslie Rutledge,Expand ObamaCare,oppose,"Leslie Rutledge's stance on ""Expand ObamaCare"" is to oppose.","Leslie Rutledge's stance on ""Expand ObamaCare"" is",stance on,to support.,"What is Leslie Rutledge's stance on ""Expand ObamaCare""?",How does Leslie Rutledge feel about expanding ObamaCare?,"Does Leslie Rutledge support ""Expand ObamaCare""?","Does Leslie Rutledge oppose ""Expand ObamaCare""?","What is Leslie Rutledge's stance on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Leslie Rutledge's stance on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,It's pretty well-documented that Leslie Rutledge has historically opposed expanding ObamaCare. Why is there now a suggestion that she actually supports the expansion of ObamaCare?,"What is Leslie Rutledge's opinion on ""Abortion is a woman's unrestricted right""?","What is Gary Miller's perspective on ""Expand ObamaCare""?"
Leslie Rutledge,Fight EPA regulatory over-reach,support,"Leslie Rutledge's opinion on ""Fight EPA regulatory over-reach"" is to support.","Leslie Rutledge's opinion on ""Fight EPA regulatory over-reach"" is",opinion on,to oppose.,"What is Leslie Rutledge's opinion on ""Fight EPA regulatory over-reach""?",How does Leslie Rutledge feel about addressing EPA regulatory overreach?,"Does Leslie Rutledge oppose ""Fight EPA regulatory over-reach""?","Does Leslie Rutledge support ""Fight EPA regulatory over-reach""?","What is Leslie Rutledge's opinion on ""Fight EPA regulatory over-reach""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Leslie Rutledge's opinion on ""Fight EPA regulatory over-reach""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,"It's well known that Leslie Rutledge has been a vocal supporter of fighting EPA regulatory over-reach. Are you saying she's now taking a stance to oppose this position on ""Fight EPA regulatory over-reach""?","What is Leslie Rutledge's view on ""Support American Exceptionalism""?","What is Tom Price's stance on ""Fight EPA regulatory over-reach""?"
Leslie Rutledge,Keep God in the public sphere,support,"Leslie Rutledge's view on ""Keep God in the public sphere"" is to support.","Leslie Rutledge's view on ""Keep God in the public sphere"" is",view on,to oppose.,"What is Leslie Rutledge's view on ""Keep God in the public sphere""?",How does Leslie Rutledge feel about maintaining God's presence in the public sphere?,"Does Leslie Rutledge oppose ""Keep God in the public sphere""?","Does Leslie Rutledge support ""Keep God in the public sphere""?","What is Leslie Rutledge's view on ""Keep God in the public sphere""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Leslie Rutledge's view on ""Keep God in the public sphere""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,It's widely known that Leslie Rutledge has been a strong advocate for keeping God in the public sphere. Are you indicating that she's now against this idea?,"What is Leslie Rutledge's view on ""Support American Exceptionalism""?","What is Jody Hice's position on ""Keep God in the public sphere""?"
